#timestamp, px, py, pz, qw, qx, qy, qz, idx
1403637149838319104.0 0.0451973 0.0219028 0.0451991 0.9996924 -0.0123238 0.0207668 0.0056620 0
1403637149888318976.0 0.0483760 0.0171975 0.0457305 0.9997285 -0.0119564 0.0188843 0.0065738 0
1403637149938319104.0 0.0505563 0.0162487 0.0418043 0.9995328 -0.0229653 0.0198212 0.0037413 0
1403637149988318976.0 0.0563576 0.0142272 0.0414831 0.9991380 -0.0354547 0.0212633 -0.0037568 0
1403637150038319104.0 0.0635409 0.0149381 0.0411907 0.9986632 -0.0448899 0.0248814 -0.0061249 0
1403637150088318976.0 0.0706183 0.0081412 0.0402522 0.9980959 -0.0538025 0.0278337 -0.0116258 0
1403637150138319104.0 0.0783747 -0.0007417 0.0382160 0.9976956 -0.0583850 0.0305056 -0.0162474 0
1403637150188318976.0 0.0869166 -0.0070057 0.0418034 0.9974776 -0.0584631 0.0352273 -0.0194800 0
1403637150238319104.0 0.0950646 -0.0242044 0.0436216 0.9974463 -0.0559208 0.0374808 -0.0238518 0
1403637150288318976.0 0.1047592 -0.0378779 0.0486269 0.9974542 -0.0545640 0.0407378 -0.0211689 0
1403637150338319104.0 0.1133526 -0.0542273 0.0547811 0.9974979 -0.0507805 0.0433382 -0.0232596 0
1403637150388318976.0 0.1212491 -0.0738146 0.0604217 0.9979904 -0.0425284 0.0434354 -0.0178875 0
1403637150438319104.0 0.1301969 -0.0916767 0.0687793 0.9981129 -0.0354174 0.0462681 -0.0193774 0
1403637150488318976.0 0.1358312 -0.1077464 0.0786258 0.9981722 -0.0324938 0.0478168 -0.0176045 0
1403637150538319104.0 0.1453113 -0.1280234 0.0850611 0.9981896 -0.0301603 0.0493480 -0.0165116 0
1403637150588318976.0 0.1545088 -0.1469449 0.0949682 0.9981707 -0.0272415 0.0509758 -0.0177317 0
1403637150638319104.0 0.1612469 -0.1608467 0.1081392 0.9982361 -0.0242638 0.0520647 -0.0150112 0
1403637150688318976.0 0.1703968 -0.1769304 0.1166098 0.9979935 -0.0283939 0.0543475 -0.0157895 0
1403637150738319104.0 0.1792523 -0.1972325 0.1243505 0.9980798 -0.0230808 0.0547211 -0.0176011 0
1403637150788318976.0 0.1866387 -0.2089435 0.1381842 0.9981241 -0.0212864 0.0549578 -0.0165779 0
1403637150838319104.0 0.1946450 -0.2244844 0.1498396 0.9979787 -0.0233343 0.0566665 -0.0168173 0
1403637150888318976.0 0.2028606 -0.2424076 0.1592471 0.9980330 -0.0169663 0.0575608 -0.0181395 0
1403637150938319104.0 0.2102188 -0.2535645 0.1739945 0.9981091 -0.0130040 0.0573387 -0.0179249 0
1403637150988318976.0 0.2178900 -0.2691118 0.1849905 0.9980549 -0.0122593 0.0579214 -0.0195295 0
1403637151038319104.0 0.2251115 -0.2848528 0.1954364 0.9981821 -0.0060957 0.0569915 -0.0186430 0
1403637151088318976.0 0.2321355 -0.2927977 0.2089928 0.9981605 -0.0015751 0.0569914 -0.0206174 0
1403637151138319104.0 0.2378375 -0.3017427 0.2188904 0.9981689 0.0005278 0.0566447 -0.0212098 0
1403637151188318976.0 0.2439685 -0.3138403 0.2280234 0.9982280 -0.0011132 0.0555579 -0.0212812 0
1403637151238319104.0 0.2477931 -0.3225553 0.2364181 0.9982351 -0.0015699 0.0554163 -0.0212877 0
1403637151288318976.0 0.2543066 -0.3361335 0.2441125 0.9984009 -0.0056542 0.0528751 -0.0191854 0
1403637151338319104.0 0.2579319 -0.3484783 0.2509016 0.9985310 -0.0090463 0.0514530 -0.0143749 0
1403637151388318976.0 0.2629265 -0.3635674 0.2550422 0.9987203 -0.0104469 0.0485842 -0.0093904 0
1403637151438319104.0 0.2660313 -0.3805903 0.2580288 0.9987356 -0.0139105 0.0479779 -0.0056385 0
1403637151488318976.0 0.2717360 -0.3971560 0.2594576 0.9986248 -0.0181379 0.0478444 -0.0114263 0
1403637151538319104.0 0.2766798 -0.4184520 0.2632829 0.9987178 -0.0158751 0.0473414 -0.0083449 0
1403637151588318976.0 0.2824754 -0.4338189 0.2675210 0.9986884 -0.0173915 0.0468568 -0.0111163 0
1403637151638319104.0 0.2914745 -0.4492308 0.2706973 0.9986818 -0.0180002 0.0466525 -0.0115719 0
1403637151688318976.0 0.2980807 -0.4646086 0.2749310 0.9985995 -0.0184940 0.0474709 -0.0142709 0
1403637151738319104.0 0.3042433 -0.4780669 0.2789699 0.9985749 -0.0208936 0.0469506 -0.0143969 0
1403637151788318976.0 0.3127677 -0.4918026 0.2814070 0.9985811 -0.0198250 0.0469130 -0.0155594 0
1403637151838319104.0 0.3189180 -0.5014604 0.2902094 0.9985902 -0.0187372 0.0467247 -0.0168349 0
1403637151888318976.0 0.3249777 -0.5140257 0.2939141 0.9985034 -0.0206059 0.0475661 -0.0174318 0
1403637151938319104.0 0.3327968 -0.5220944 0.2996680 0.9985375 -0.0191794 0.0473536 -0.0176839 0
1403637151988318976.0 0.3407385 -0.5286286 0.3053180 0.9985285 -0.0210387 0.0466171 -0.0180289 0
1403637152038319104.0 0.3484605 -0.5384640 0.3126760 0.9985477 -0.0187730 0.0467066 -0.0191953 0
1403637152088318976.0 0.3555269 -0.5543302 0.3183204 0.9986463 -0.0190005 0.0455866 -0.0163227 0
1403637152138319104.0 0.3624985 -0.5675383 0.3228787 0.9985936 -0.0222794 0.0456169 -0.0152811 0
1403637152188318976.0 0.3701306 -0.5761665 0.3296694 0.9985589 -0.0233530 0.0456564 -0.0158201 0
1403637152238319104.0 0.3759861 -0.5901666 0.3347468 0.9987122 -0.0229386 0.0434403 -0.0126775 0
1403637152288318976.0 0.3835312 -0.5983168 0.3426750 0.9985412 -0.0236643 0.0462463 -0.0147203 0
1403637152338319104.0 0.3909305 -0.6107218 0.3492309 0.9987185 -0.0247159 0.0429360 -0.0103495 0
1403637152388318976.0 0.4021950 -0.6156132 0.3581603 0.9985740 -0.0244963 0.0450715 -0.0147768 0
1403637152438319104.0 0.4080517 -0.6247578 0.3644012 0.9985555 -0.0278321 0.0443712 -0.0119729 0
1403637152488318976.0 0.4172457 -0.6298417 0.3730063 0.9986641 -0.0242091 0.0434472 -0.0140105 0
1403637152538319104.0 0.4257030 -0.6320872 0.3861327 0.9985834 -0.0252742 0.0447257 -0.0138523 0
1403637152588318976.0 0.4356335 -0.6330833 0.3967548 0.9986204 -0.0258150 0.0435418 -0.0139683 0
1403637152638319104.0 0.4456560 -0.6324620 0.4088233 0.9986909 -0.0226350 0.0436528 -0.0140920 0
1403637152688318976.0 0.4526249 -0.6358854 0.4207467 0.9985964 -0.0237092 0.0456629 -0.0125711 0
1403637152738319104.0 0.4623647 -0.6350807 0.4310935 0.9987299 -0.0216341 0.0431173 -0.0145364 0
1403637152788318976.0 0.4726146 -0.6415671 0.4406095 0.9988490 -0.0178193 0.0431352 -0.0110613 0
1403637152838319104.0 0.4811801 -0.6472670 0.4505521 0.9988593 -0.0172516 0.0432240 -0.0106859 0
1403637152888318976.0 0.4925570 -0.6523067 0.4583047 0.9989222 -0.0156605 0.0421318 -0.0115759 0
1403637152938319104.0 0.5043541 -0.6595610 0.4677324 0.9988501 -0.0135299 0.0440286 -0.0132935 0
1403637152988318976.0 0.5141265 -0.6707931 0.4718951 0.9989750 -0.0136244 0.0413215 -0.0124829 0
1403637153038319104.0 0.5261393 -0.6822833 0.4851137 0.9988943 -0.0115862 0.0433233 -0.0141103 0
1403637153088318976.0 0.5357620 -0.6901698 0.4952832 0.9987741 -0.0166974 0.0440051 -0.0153264 0
1403637153138319104.0 0.5489966 -0.7016178 0.5032449 0.9988672 -0.0135788 0.0426111 -0.0162616 0
1403637153188318976.0 0.5594536 -0.7063508 0.5129736 0.9987059 -0.0167452 0.0450702 -0.0165787 0
1403637153238319104.0 0.5717171 -0.7157846 0.5209833 0.9987208 -0.0171751 0.0440380 -0.0179523 0
1403637153288318976.0 0.5827012 -0.7162309 0.5283275 0.9986036 -0.0191399 0.0454858 -0.0188533 0
1403637153338319104.0 0.5920587 -0.7219178 0.5375222 0.9986162 -0.0183612 0.0456525 -0.0185517 0
1403637153388318976.0 0.6040584 -0.7220253 0.5470419 0.9985335 -0.0185948 0.0460698 -0.0215089 0
1403637153438319104.0 0.6159160 -0.7285495 0.5554808 0.9985585 -0.0188774 0.0455652 -0.0211811 0
1403637153488318976.0 0.6242324 -0.7311061 0.5637017 0.9983732 -0.0230855 0.0473453 -0.0218275 0
1403637153538319104.0 0.6347870 -0.7376680 0.5718801 0.9984046 -0.0222286 0.0462942 -0.0234745 0
1403637153588318976.0 0.6453213 -0.7488719 0.5813058 0.9984535 -0.0209230 0.0470114 -0.0210413 0
1403637153638319104.0 0.6533411 -0.7571961 0.5877498 0.9983329 -0.0254631 0.0471485 -0.0214481 0
1403637153688318976.0 0.6630150 -0.7691228 0.5944159 0.9983522 -0.0245902 0.0471716 -0.0215228 0
1403637153738319104.0 0.6711278 -0.7795496 0.6059505 0.9982815 -0.0246611 0.0480386 -0.0227653 0
1403637153788318976.0 0.6794125 -0.7913692 0.6130692 0.9985242 -0.0189225 0.0460126 -0.0217734 0
1403637153838319104.0 0.6884682 -0.8070799 0.6209326 0.9985147 -0.0194378 0.0466384 -0.0203781 0
1403637153888318976.0 0.6966622 -0.8137529 0.6291422 0.9984321 -0.0173844 0.0480148 -0.0229286 0
1403637153938319104.0 0.7040650 -0.8225049 0.6374632 0.9985377 -0.0153783 0.0465506 -0.0227838 0
1403637153988318976.0 0.7129430 -0.8313541 0.6453636 0.9985420 -0.0157873 0.0471912 -0.0209246 0
1403637154038319104.0 0.7203701 -0.8328828 0.6574486 0.9985930 -0.0146740 0.0466706 -0.0204570 0
1403637154088318976.0 0.7277880 -0.8358825 0.6669049 0.9986109 -0.0188179 0.0459631 -0.0175945 0
1403637154138319104.0 0.7361888 -0.8399528 0.6761326 0.9987149 -0.0209613 0.0441891 -0.0132895 0
1403637154188318976.0 0.7444893 -0.8360547 0.6884591 0.9986443 -0.0294353 0.0426791 -0.0046557 0
1403637154238319104.0 0.7506355 -0.8396137 0.6983484 0.9987383 -0.0299514 0.0402886 0.0011967 0
1403637154288318976.0 0.7612431 -0.8357965 0.7111664 0.9985632 -0.0364938 0.0386178 0.0069659 0
1403637154338319104.0 0.7723805 -0.8322721 0.7222346 0.9985002 -0.0377912 0.0386895 0.0085033 0
1403637154388318976.0 0.7845106 -0.8339448 0.7326609 0.9985803 -0.0359584 0.0387246 0.0066894 0
1403637154438319104.0 0.7995801 -0.8291839 0.7503280 0.9987406 -0.0300614 0.0399492 0.0041939 0
1403637154488318976.0 0.8143505 -0.8261310 0.7653357 0.9986662 -0.0296258 0.0422347 0.0021372 0
1403637154538319104.0 0.8298042 -0.8244058 0.7814078 0.9986714 -0.0251213 0.0448610 -0.0034295 0
1403637154588318976.0 0.8449174 -0.8187428 0.7975327 0.9985918 -0.0242386 0.0464462 -0.0083398 0
1403637154638319104.0 0.8643916 -0.8099993 0.8165880 0.9982900 -0.0276044 0.0495703 -0.0140613 0
1403637154688318976.0 0.8809994 -0.8120292 0.8331100 0.9980013 -0.0284828 0.0535471 -0.0177395 0
1403637154738319104.0 0.8967831 -0.8086492 0.8488011 0.9976504 -0.0333866 0.0569046 -0.0184619 0
